City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lebu,-37.6167,-73.65,47.28,87,4,5.1,CL,2024-05-11 01:59:42
1,Port-Aux-Francais,-49.35,70.2167,41.22,71,7,31.12,TF,2024-05-11 01:59:42
2,Vallenar,-28.5708,-70.7581,53.58,75,100,2.73,CL,2024-05-11 01:59:42
3,Puerto Natales,-51.7236,-72.4875,29.44,92,100,3.24,CL,2024-05-11 01:59:42
4,Bodo,67.28,14.405,39.24,89,0,12.66,NO,2024-05-11 01:59:42
5,Ribeira Grande,38.5167,-28.7,64.78,94,98,10.0,PT,2024-05-11 01:59:42
6,Kutulik,53.3508,102.7839,56.62,37,54,12.97,RU,2024-05-11 01:59:42
7,Gunjur,13.2019,-16.7339,75.27,83,0,5.75,GM,2024-05-11 01:59:42
8,Albany,42.6001,-73.9662,51.8,84,100,1.81,US,2024-05-11 01:59:42
9,Ushuaia,-54.8,-68.3,33.46,80,0,10.36,AR,2024-05-11 01:55:17
10,Papatowai,-46.5619,169.4708,50.04,71,89,10.67,NZ,2024-05-11 01:59:43
11,Tsiombe,-25.3,45.4833,66.51,82,0,4.63,MG,2024-05-11 01:59:43
12,Mineiros,-17.5694,-52.5511,64.69,53,28,3.83,BR,2024-05-11 01:59:25
13,Anadyr,64.75,177.4833,28.9,74,75,6.71,RU,2024-05-11 01:59:43
14,Mwingi,-0.9344,38.0601,63.3,93,92,3.22,KE,2024-05-11 01:59:43
15,Grytviken,-54.2811,-36.5092,32.4,88,100,6.49,GS,2024-05-11 01:59:43
16,Adamstown,-25.066,-130.1015,72.59,86,29,15.75,PN,2024-05-11 01:59:43
17,Lihue,21.9789,-159.3672,76.44,75,98,7.96,US,2024-05-11 01:59:43
18,Atafu Village,-8.5421,-172.5159,84.9,73,47,9.42,TK,2024-05-11 01:59:43
19,Edinburgh Of The Seven Seas,-37.0676,-12.3116,62.76,91,100,28.88,SH,2024-05-11 01:59:43
20,Tiksi,71.6872,128.8694,26.62,92,100,10.51,RU,2024-05-11 01:59:43
21,West Island,-12.1568,96.8225,82.38,89,75,14.97,CC,2024-05-11 01:59:44
22,Matadi,-5.8167,13.45,77.25,97,94,2.26,CD,2024-05-11 01:59:44
23,Georgetown,5.4112,100.3354,83.95,91,40,4.61,MY,2024-05-11 01:57:45
24,Susuman,62.7833,148.1667,37.98,73,100,3.0,RU,2024-05-11 01:59:44
25,Palikir - National Government Center,6.9248,158.1611,83.25,83,100,9.22,FM,2024-05-11 01:59:19
26,Lorengau,-2.0226,147.2712,80.28,88,100,13.29,PG,2024-05-11 01:59:44
27,Yellowknife,62.456,-114.3525,46.92,91,75,17.27,CA,2024-05-11 01:59:44
28,Beyneu,45.3167,55.2,59.7,46,99,17.27,KZ,2024-05-11 01:59:44
29,Waitangi,-43.9535,-176.5597,49.82,72,99,5.99,NZ,2024-05-11 01:59:44
30,Rockland,41.1668,-74.0496,50.25,94,95,3.2,US,2024-05-11 01:59:44
31,Puerto Ayora,-0.7393,-90.3518,74.55,97,100,5.66,EC,2024-05-11 01:59:44
